Casename	Study	stat_para	stat_aneu	stat_red	stat_yel	stat_wht	stat_dom	stat_bod	stat_nek	stat_part	stat_press	
uic069.1	msa.2	min	  1281.80	     0.00	     0.00	     0.00	  1281.80	  5021.72	194515.20	    43.96	    43.96	
uic069.1	msa.2	stddev	558744.62	     0.00	     0.00	     0.00	502686.09	592433.67	516781.55	192493.38	476962.87	
uic070.2	msa.2	mean	279583.33	     0.00	     0.00	276130.56	198776.45	285277.68	437800.96	347144.38	334167.39	
uic070.2	msa.2	max	1128126.34	     0.00	     0.00	1149399.38	430303.49	533754.21	1128126.34	1428946.92	1428946.92	
uic070.2	msa.2	min	   185.44	     0.00	     0.00	   185.44	   185.44	 52423.41	 45732.27	   810.78	   185.44	
uic070.2	msa.2	stddev	147694.66	     0.00	     0.00	144386.28	 77258.38	 90393.25	227419.24	197912.71	191165.17	
uic070.3	msa.2	mean	1118978.38	1148991.08	     0.00	313511.39	854958.71	1247435.38	1096460.38	339012.67	391908.87	
uic070.3	msa.2	max	2646309.32	2646309.32	     0.00	1684914.99	1726274.79	2646309.32	2531288.12	2371368.75	2646309.32	
uic070.3	msa.2	min	  5076.15	 32974.90	     0.00	  1346.04	 19039.26	  5076.15	202664.64	   400.46	   400.46	
uic070.3	msa.2	stddev	567809.09	610314.39	     0.00	216448.90	419991.37	600412.90	532992.40	205723.28	315873.81	
uic071.1	msa.2	mean	905545.55	     0.00	     0.00	     0.00	934341.32	822843.78	1057749.58	424556.71	485650.14	
uic071.1	msa.2	max	2364944.54	     0.00	     0.00	     0.00	1412486.67	1740958.59	2364944.54	2285858.91	2364944.54	
uic071.1	msa.2	min	  4060.64	     0.00	     0.00	     0.00	384392.48	  4060.64	  9710.53	  1565.42	  1565.42	
uic071.1	msa.2	stddev	433655.99	     0.00	     0.00	     0.00	225511.16	408341.24	618913.17	235152.55	312749.68	
uic072.1	msa.2	mean	528851.65	649116.43	     0.00	289649.38	469824.10	587883.63	469302.99	277387.11	307211.00	
uic072.1	msa.2	max	1154569.43	1154569.43	     0.00	369505.88	951631.69	1154569.43	783801.13	690111.10	1154569.43	
uic072.1	msa.2	min	 13697.20	116190.32	     0.00	237987.52	 13697.20	237987.52	275677.14	   480.86	   480.86	
uic072.1	msa.2	stddev	200133.94	199386.23	     0.00	 33577.73	189983.58	210735.71	131876.07	155135.44	180480.50	
uic073.1	msa.2	mean	1372223.39	1959566.22	     0.00	541869.37	1313784.98	1333643.50	1590310.56	399449.40	866000.46	
uic073.1	msa.2	max	5920633.26	4959502.24	     0.00	1550623.60	4621952.11	5920633.26	4485793.23	3097829.12	5920633.26	
uic073.1	msa.2	min	  4315.73	 16012.29	     0.00	177517.81	  5040.52	 24667.14	  4315.73	  1393.71	  1393.71	
uic073.1	msa.2	stddev	1045518.63	1006898.94	     0.00	205088.79	1046400.39	1024360.30	1078646.23	293429.46	897357.15	
visa26	msa.2	mean	2130320.73	3808022.28	     0.00	     0.00	1666785.37	2492183.40	1932308.50	521909.12	1093710.88	
visa26	msa.2	max	8335752.97	8335752.97	     0.00	     0.00	6594043.84	8335752.97	4915252.27	3957705.09	8335752.97	
visa26	msa.2	min	  1547.00	  1547.00	     0.00	     0.00	  1547.00	102091.76	  5783.13	   376.72	   376.72	
visa26	msa.2	stddev	1427239.61	2473673.57	     0.00	     0.00	1026942.11	1653843.53	1116330.28	465976.17	1207000.03	
visa28	msa.2	mean	778857.67	1599267.88	     0.00	370730.95	336653.53	766283.86	1337953.35	529786.32	585369.66	
visa28	msa.2	max	3297287.46	2242414.97	     0.00	1079343.08	1068114.73	2141150.19	3297287.46	3110649.86	3297287.46	
visa28	msa.2	min	  2765.62	874291.39	     0.00	  2765.62	  2765.62	 10655.94	 11463.26	   383.01	   383.01	
visa28	msa.2	stddev	626917.56	358413.28	     0.00	192600.50	151953.77	451518.99	833132.42	318960.21	421301.89	
visa31	msa.2	mean	1345194.91	987510.03	     0.00	681521.64	1834633.86	1189484.69	965197.59	493841.25	851377.86	
visa31	msa.2	max	4106561.76	2511883.20	     0.00	1676507.13	4106561.76	4022458.48	3913612.02	3336725.13	4106561.76	
visa31	msa.2	min	   370.63	  6367.33	     0.00	   370.63	134083.09	   370.63	  1503.96	   373.06	   370.63	
visa31	msa.2	stddev	901755.27	675176.57	     0.00	343274.18	838449.81	926640.65	572155.17	414282.98	785880.09	
visa32.1	msa.2	mean	999823.94	     0.00	     0.00	     0.00	759634.28	1036624.99	1300554.33	623168.47	703338.02	
visa32.1	msa.2	max	3150664.56	     0.00	     0.00	     0.00	1649530.40	2532206.49	3150664.56	2100140.15	3150664.56	
visa32.1	msa.2	min	  3462.92	     0.00	     0.00	     0.00	  3462.92	127632.54	 40369.04	   336.07	   336.07	
visa32.1	msa.2	stddev	588227.73	     0.00	     0.00	     0.00	417149.39	505585.51	797587.77	302715.92	411428.61	
visa36	msa.2	mean	670610.83	     0.00	     0.00	394753.12	411090.15	620834.49	1001932.68	428188.16	458869.66	
visa36	msa.2	max	2222263.74	     0.00	     0.00	1109160.16	878424.92	2046486.00	2222263.74	2633169.94	2633169.94	
visa36	msa.2	min	  1023.44	     0.00	     0.00	  1023.44	 31851.01	  1023.44	  8935.32	   249.50	   249.50	
visa36	msa.2	stddev	467792.15	     0.00	     0.00	219947.36	179099.12	386952.79	580565.68	288085.41	326621.27	
Allcases	study	mean	1.03996e+06	1.21298e+06	0	289102	917856	1.04916e+06	1.17901e+06	440828	602034
Allcases	study	stddev	634442	551578	0	130065	475829	612560	670801	273490	487952
